timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Apr 27 15:34:13 218 PDT 2018,2104,1280,93,858,780121973,2181582,675,3311,164,2880702405,24452262,2,164920471,2,0,16896,3833534976,131584,435,0,33,435,805775360,0,15
Fri Apr 27 15:34:33 250 PDT 2018,2104,1278,93,858,780103036,2181582,673,3309,164,2880702405,24452349,2,164920558,2,0,18887,3833534976,131584,647,0,36,647,805775360,0,17
Fri Apr 27 15:34:53 268 PDT 2018,2104,1278,93,858,780102455,2181582,673,3309,164,2880702405,24452434,1,164920643,1,0,16896,3833534976,131584,217,0,33,217,805775360,0,15
Fri Apr 27 15:35:13 326 PDT 2018,2104,1278,93,858,780102191,2181582,673,3309,164,2880702405,24452529,4,164920738,4,0,20929,3844419072,131584,1056,0,40,1056,805775360,0,15
Fri Apr 27 15:35:33 327 PDT 2018,2105,1278,93,858,780102191,2181583,673,3310,164,2880702622,24452619,7,164920828,7,0,32768,3844419072,131584,8385,0,51,8385,805775360,0,15
Fri Apr 27 15:35:53 363 PDT 2018,2104,1278,93,858,780118009,2181592,673,3309,164,2880712679,24452717,4,164920926,4,0,19968,3844419072,131584,846,0,39,846,805775360,0,15
Fri Apr 27 15:36:13 407 PDT 2018,2106,1278,93,858,780118009,2181592,673,3311,164,2880712679,24452804,0,164921013,0,0,16879,3844419072,131584,216,0,32,216,805775360,0,15
Fri Apr 27 15:36:33 425 PDT 2018,2104,1278,93,858,780118449,2181595,673,3309,164,2880713308,24452897,4,164921106,4,0,36315,3844419072,131584,12624,0,48,12624,805775360,0,14
Fri Apr 27 15:36:53 468 PDT 2018,2104,1278,93,858,780106474,2181583,673,3309,164,2880703432,24452977,3,164921186,3,0,19426,3844419072,131584,743,0,37,743,805775360,0,14
Fri Apr 27 15:37:13 500 PDT 2018,2104,1278,93,858,780106824,2181584,673,3309,164,2880705623,24453064,4,164921272,4,0,28160,3844419072,131584,5543,0,45,5543,805775360,0,16
Fri Apr 27 15:37:33 511 PDT 2018,2104,1278,93,858,780104096,2181585,673,3309,164,2880705840,24453155,4,164921363,4,0,20971,3844419072,131584,1058,0,40,1058,805775360,0,15
Fri Apr 27 15:37:53 557 PDT 2018,2104,1278,93,858,780102807,2181583,673,3309,164,2880704598,24453238,1,164921446,1,0,16896,3844419072,131584,217,0,33,217,805775360,0,15
Fri Apr 27 15:38:13 560 PDT 2018,2104,1278,93,858,780106503,2181583,673,3309,164,2880704598,24453328,5,164921536,5,0,20992,3844419072,131584,1059,0,41,1059,805775360,0,14
Fri Apr 27 15:38:33 593 PDT 2018,2104,1278,93,858,780104655,2181583,673,3309,164,2880704598,24453420,2,164921628,2,0,17920,3844419072,131584,430,0,35,430,805775360,0,18
Fri Apr 27 15:38:53 636 PDT 2018,2104,1278,93,858,780102807,2181583,673,3309,164,2880704598,24453503,2,164921711,2,0,17920,3844419072,131584,430,0,35,430,805775360,0,16
Fri Apr 27 15:39:13 652 PDT 2018,2105,1278,93,858,780063112,2181583,673,3310,164,2880704598,24453594,3,164921801,3,0,19465,3844419072,131584,745,0,38,745,805775360,0,14
Fri Apr 27 15:39:33 683 PDT 2018,2104,1278,93,858,780063429,2181584,673,3309,164,2880705422,24453680,3,164921885,3,0,19948,3844419072,131584,845,0,38,845,805775360,0,15
Fri Apr 27 15:39:53 704 PDT 2018,2104,1278,93,858,780063200,2181584,673,3309,164,2880705422,24453757,5,164921962,5,0,20992,3844419072,131584,1056,0,41,1056,805775360,0,15
Fri Apr 27 15:40:13 734 PDT 2018,2105,1278,93,858,780063200,2181584,673,3310,164,2880705422,24453838,6,164922043,6,0,22016,3844419072,131584,1273,0,43,1273,805775360,0,15
Fri Apr 27 15:40:33 767 PDT 2018,2104,1274,93,858,780026366,2181584,669,3305,164,2880705422,24453924,5,164922129,5,0,31680,3844419072,131584,8167,0,48,8167,805775360,0,15
Fri Apr 27 15:40:53 756 PDT 2018,2104,1273,93,858,780032567,2181595,668,3304,164,2880716519,24454018,6,164922221,5,0,23319,3844419072,131584,3022,0,41,4167,805775360,0,17
Fri Apr 27 15:41:13 805 PDT 2018,2104,1273,93,858,780033218,2181596,668,3304,164,2880717344,24454102,5,164922303,5,0,20992,3844419072,131584,1060,0,41,1060,805775360,0,15
Fri Apr 27 15:41:33 839 PDT 2018,2104,1273,93,858,780034010,2181599,668,3304,164,2880719816,24454202,1,164922397,1,0,16896,3844419072,131584,217,0,33,217,805775360,0,16
Fri Apr 27 15:41:53 825 PDT 2018,2104,1273,93,858,780023555,2181590,668,3304,164,2880710569,24454292,2,164922487,2,0,18915,3844419072,131584,637,0,36,637,805775360,0,15
Fri Apr 27 15:42:13 882 PDT 2018,2105,1273,93,858,780023553,2181590,668,3305,164,2880710567,24454372,5,164922567,5,0,20992,3844419072,131584,1060,0,41,1060,805775360,0,14
Fri Apr 27 15:42:33 927 PDT 2018,2104,1273,93,858,780026017,2181590,668,3304,164,2880710567,24454458,3,164922653,3,0,18944,3844419072,131584,638,0,37,638,805775360,0,14
Fri Apr 27 15:42:53 942 PDT 2018,2104,1273,93,858,780021120,2181590,668,3304,164,2880711793,24454543,3,164922737,3,0,19928,3844419072,131584,844,0,38,844,805775360,0,16
Fri Apr 27 15:43:13 972 PDT 2018,2104,1273,93,858,780019072,2181590,668,3304,164,2880711793,24454630,5,164922824,5,0,27081,3844419072,131584,3601,0,48,3601,805775360,0,15
Fri Apr 27 15:43:34 006 PDT 2018,2104,1271,93,858,780001103,2181591,666,3302,164,2880713836,24454719,7,164922912,7,0,23040,3844419072,131584,1491,0,45,1491,805775360,0,16
Fri Apr 27 15:43:54 047 PDT 2018,2104,1271,93,858,780008177,2181591,666,3302,164,2880713836,24454800,1,164922993,1,0,16896,3844419072,131584,217,0,33,217,805775360,0,16
Fri Apr 27 15:44:14 047 PDT 2018,2105,1271,93,858,780008167,2181591,666,3303,164,2880713836,24454879,5,164923072,5,0,20992,3844419072,131584,1064,0,41,1064,805775360,0,15
Fri Apr 27 15:44:34 062 PDT 2018,2104,1271,93,858,780010631,2181591,666,3302,164,2880713836,24454965,5,164923158,5,0,25472,3844419072,131584,3540,0,45,3540,805775360,0,15
Fri Apr 27 15:44:54 122 PDT 2018,2104,1271,93,858,780006935,2181591,666,3302,164,2880713836,24455039,5,164923232,5,0,20992,3844419072,131584,1060,0,41,1060,805775360,0,16
Fri Apr 27 15:45:14 152 PDT 2018,2105,1271,93,858,780006671,2181591,666,3303,164,2880713836,24455123,4,164923316,4,0,25088,3844419072,131584,6148,0,39,6148,805775360,0,16
